Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,VRSN,0,0,0,0,18290000000.0,18870000000.0,30.51,25.1,3.88,14.85,,15.32,22.14,49.71,65.45,26.74,,1230000000.0,10.39,1.0,1050000000.0,852460000.0,612300000.0,5.15,-18.6,1220000000.0,10.46,1800000000.0,,1.33,-12.77,753890000.0,503620000.0,0.95,194.14,193.4,1020000.0,116720000.0,106560000.0,1.34,93.88,1410000.0,2.14,1.34,1180000.0
0,0,EXPR,0,0,0,0,109950000.0,1030000000.0,,10.75,-3.78,0.05,0.27,0.51,13.49,-8.14,-0.46,-0.41,-33.15,2020000000.0,30.53,-3.5,550580000.0,76060000.0,-164360000.0,-2.49,,207140000.0,3.24,1120000000.0,276.51,1.01,6.36,90710000.0,94110000.0,1.14,3.4414,3.7624,1720000.0,63910000.0,49250000.0,4.55,111.83,14530000.0,11.13,30.13,13110000.0
0,0,ESV,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,DE,0,0,0,0,35010000000.0,77040000000.0,10.88,10.08,1.75,0.9,2.94,1.98,12.58,8.42,10.85,3.72,28.12,38880000000.0,123.33,-4.4,9180000000.0,6120000000.0,3270000000.0,10.26,3.8,3310000000.0,10.55,45320000000.0,379.45,2.19,38.03,4550000000.0,-383220000.0,1.05,155.77,166.64,1880000.0,314810000.0,281350000.0,0.23,80.43,4130000.0,2.12,1.46,4250000.0
0,0,STI,0,0,0,0,31140000000.0,,12.85,,,,,,,,,,,,,,9010000000.0,,,,,,,,,,,,,,70.13,68.42,18920000.0,,,,,,,,
0,0,MCHP,0,0,0,0,14290000000.0,23620000000.0,23.6,9.62,4.43,2.71,2.54,4.47,12.1,12.23,15.3,2.83,11.98,5280000000.0,22.16,-6.4,3300000000.0,1950000000.0,645400000.0,2.53,532.3,402300000.0,1.68,9730000000.0,173.32,0.9,23.45,1580000000.0,1520000000.0,1.36,90.97,96.09,3650000.0,239540000.0,234160000.0,2.19,110.12,36070000.0,13.45,20.66,35210000.0
0,0,DHR,0,0,0,0,86200000000.0,90430000000.0,30.54,20.13,2.31,4.81,3.0,5.05,20.23,16.8,18.32,3.73,8.31,17910000000.0,25.05,-9.2,9980000000.0,4470000000.0,2360000000.0,4.05,70.7,19910000000.0,28.6,22530000000.0,74.39,5.19,41.22,3950000000.0,3090000000.0,0.85,150.83,147.18,3260000.0,695500000.0,616160000.0,11.22,82.71,5500000.0,2.04,0.87,7740000.0
0,0,CAT,0,0,0,0,52530000000.0,83590000000.0,8.89,9.75,3.21,0.98,3.6,1.55,7.88,11.32,15.08,6.46,42.45,53800000000.0,95.8,-8.4,14460000000.0,10610000000.0,6090000000.0,10.74,4.8,7300000000.0,13.27,38320000000.0,261.92,1.47,26.52,6910000000.0,2800000000.0,1.42,122.66,134.26,4240000.0,552660000.0,548950000.0,0.18,67.38,6910000.0,1.78,1.21,5480000.0
0,0,XLNX,0,0,0,0,17880000000.0,16760000000.000002,21.07,21.58,3.43,5.53,6.77,5.18,16.6,27.05,26.95,10.57,33.16,3230000000.0,12.81,-9.6,2100000000.0,1010000000.0,875100000.0,3.41,-32.3,2430000000.0,9.75,1300000000.0,49.41,6.06,10.61,1130000000.0,765470000.0,1.08,82.52,92.9,3860000.0,248840000.0,248370000.0,0.18,84.92,8100000.0,1.86,3.62,8530000.0
0,0,BIG,0,0,0,0,472420000.0,1950000000.0,1.96,3.68,16.2,0.09,0.56,0.37,5.68,4.55,3.91,4.99,31.52,5320000000.0,135.64,0.5,2120000000.0,342910000.0,242460000.0,6.16,-13.2,52720000.0,1.35,1530000000.0,180.61,1.22,21.66,338970000.0,354330000.0,1.88,21.12,23.39,1650000.0,39040000.0,38440000.0,1.41,111.32,7810000.0,4.85,22.42,7700000.0
0,0,SYY,0,0,0,0,17970000000.0,27020000000.0,10.11,8.85,1.58,0.3,7.11,0.45,7.9,3.0,4.46,8.98,76.11,60460000000.0,117.84,1.8,11410000000.0,3420000000.0,1810000000.0,3.49,43.4,539630000.0,1.06,9560000000.0,373.09,1.25,4.97,2250000000.0,1150000000.0,0.68,65.87,77.03,4160000.0,508510000.0,507390000.0,0.24,82.92,8570000.0,2.99,1.76,9320000.0
0,0,WPO,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SIAL,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,PBI,0,0,0,0,373550000.0,2120000000.0,1.99,2.76,-0.28,0.12,1.3,0.66,5.42,6.07,7.24,2.54,20.7,3210000000.0,18.18,-3.0,1280000000.0,391110000.0,40140000.0,1.097,253.6,1040000000.0,6.08,2790000000.0,974.01,1.42,1.68,252210000.0,554080000.0,1.97,3.4014,4.1601,2840000.0,171360000.0,169700000.0,0.68,81.07,36860000.0,13.25,23.1,35760000.0
0,0,GAS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,TIF,0,0,0,0,15190000000.0,16680000000.0,27.99,26.24,3.76,3.46,4.81,3.8,17.19,12.41,16.43,7.93,17.66,4390000000.0,36.2,0.2,2810000000.0,970600000.0,544400000.0,4.48,-17.4,529600000.0,4.41,2150000000.0,68.47,4.11,26.09,638300000.0,306460000.0,1.46,131.13,119.93,2590000.0,121130000.0,107310000.0,0.96,99.53,14200000.0,6.66,13.19,12930000.0
